0    [main] INFO  space.exploration.mars.rover.kernel.Rover  - Rover current position is = java.awt.Point[x=0,y=250]
1010 [main] INFO  space.exploration.mars.rover.sensor.Lidar  - Lidar initialized and ready!
2018 [main] INFO  space.exploration.mars.rover.sensor.Spectrometer  - Spectrometer initialized and ready!
3413 [main] INFO  space.exploration.mars.rover.sensor.Camera  - Camera initialized and ready!
4415 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radio configured:: 
5418 [main] INFO  space.exploration.mars.rover.power.Battery  - Battery configured, batteryLife:primaryPowerUnits = 10000 auxiliaryPowerUnits = 1000 alertThreshold: 100 rechargeTime = 60000
5811 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
5837 [main] WARN  kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
5837 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
5837 [main] WARN  kafka.utils.VerifiableProperties  - Property group.id is not valid
5838 [main] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
5838 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
5838 [main] WARN  kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
5875 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
5876 [main] INFO  kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
5876 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
5876 [main] INFO  kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover
5876 [main] WARN  kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
5876 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
5877 [main] INFO  kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to localhost:2181
5905 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zionmainframe-1496280506881-695e7ce8], Connecting to zookeeper instance at localhost:2181
5912 [ZkClient-EventThread-24-localhost:2181] INFO  org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
5920 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
5920 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:host.name=zionmainframe
5920 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_131
