0    [main] INFO  space.exploration.mars.rover.kernel.Rover  - Rover current position is = java.awt.Point[x=350,y=250]
1006 [main] INFO  space.exploration.mars.rover.sensor.Lidar  - Lidar initialized and ready!
2009 [main] INFO  space.exploration.mars.rover.sensor.Spectrometer  - Spectrometer initialized and ready!
3228 [main] INFO  space.exploration.mars.rover.sensor.Camera  - Camera initialized and ready!
4231 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radar configured:: 
5234 [main] INFO  space.exploration.mars.rover.power.Battery  - Battery configured, batteryLife:primaryPowerUnits = 10000 auxiliaryPowerUnits = 1000 alertThreshold: 100 rechargeTime = 60000
6238 [main] INFO  space.exploration.mars.rover.kernel.Rover  - Battery Monitor configured!
6411 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
6429 [main] WARN  kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
6429 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
6429 [main] WARN  kafka.utils.VerifiableProperties  - Property group.id is not valid
6429 [main] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
6430 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
6430 [main] WARN  kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
6459 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
6459 [main] INFO  kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
6459 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
6459 [main] INFO  kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover
6460 [main] WARN  kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
6460 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
6460 [main] INFO  kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to localhost:2181
6477 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], Connecting to zookeeper instance at localhost:2181
6482 [ZkClient-EventThread-22-localhost:2181] INFO  org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
6485 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
6485 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:host.name=zion-mainframe
6485 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_131
6485 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
6485 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
6485 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.class.path=/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/charsets.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/cldrdata.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/dnsns.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/icedtea-sound.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/jaccess.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/localedata.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/nashorn.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/sunec.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/sunjce_provider.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/sunpkcs11.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/ext/zipfs.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/jce.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/jsse.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/management-agent.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/resources.jar:/usr/lib/jvm/java-1.8.0-openjdk-amd64/jre/lib/rt.jar:/home/sanket/Documents/workspace/MarsRover/mars.rover/target/classes:/home/sanket/.m2/repository/com/google/protobuf/protobuf-java/3.2.0/protobuf-java-3.2.0.jar:/home/sanket/.m2/repository/org/apache/kafka/kafka_2.10/0.9.0.1/kafka_2.10-0.9.0.1.jar:/home/sanket/.m2/repository/com/101tec/zkclient/0.7/zkclient-0.7.jar:/home/sanket/.m2/repository/org/slf4j/slf4j-api/1.6.1/slf4j-api-1.6.1.jar:/home/sanket/.m2/repository/log4j/log4j/1.2.15/log4j-1.2.15.jar:/home/sanket/.m2/repository/javax/mail/mail/1.4/mail-1.4.jar:/home/sanket/.m2/repository/javax/activation/activation/1.1/activation-1.1.jar:/home/sanket/.m2/repository/org/apache/kafka/kafka-clients/0.9.0.1/kafka-clients-0.9.0.1.jar:/home/sanket/.m2/repository/org/xerial/snappy/snappy-java/1.1.1.7/snappy-java-1.1.1.7.jar:/home/sanket/.m2/repository/net/jpountz/lz4/lz4/1.2.0/lz4-1.2.0.jar:/home/sanket/.m2/repository/com/yammer/metrics/metrics-core/2.2.0/metrics-core-2.2.0.jar:/home/sanket/.m2/repository/org/scala-lang/scala-library/2.10.5/scala-library-2.10.5.jar:/home/sanket/.m2/repository/net/sf/jopt-simple/jopt-simple/3.2/jopt-simple-3.2.jar:/home/sanket/.m2/repository/org/slf4j/slf4j-log4j12/1.7.6/slf4j-log4j12-1.7.6.jar:/home/sanket/.m2/repository/org/apache/zookeeper/zookeeper/3.4.6/zookeeper-3.4.6.jar:/home/sanket/.m2/repository/jline/jline/0.9.94/jline-0.9.94.jar:/home/sanket/.m2/repository/io/netty/netty/3.7.0.Final/netty-3.7.0.Final.jar:/home/sanket/.m2/repository/org/tensorflow/tensorflow/1.1.0/tensorflow-1.1.0.jar:/home/sanket/.m2/repository/org/tensorflow/libtensorflow/1.1.0/libtensorflow-1.1.0.jar:/home/sanket/.m2/repository/org/tensorflow/libtensorflow_jni/1.1.0/libtensorflow_jni-1.1.0.jar:/home/sanket/Documents/Tools/intelliJ/idea-IC-171.4694.23/lib/idea_rt.jar
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.library.path=/home/sanket/Documents/Tools/intelliJ/idea-IC-171.4694.23/bin:/home/sanket/Documents/Tools/intelliJ/idea-IC-171.4694.23/bin:/home/sanket/Documents/Tools/intelliJ/idea-IC-171.4694.23/bin:/home/sanket/Documents/Tools/intelliJ/idea-IC-171.4694.23/bin::/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.io.tmpdir=/tmp
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.compiler=<NA>
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.name=Linux
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.arch=amd64
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.version=4.8.0-54-generic
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.name=sanket
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.home=/home/sanket
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.dir=/home/sanket/Documents/workspace/MarsRover/mars.rover
6486 [main] INFO  org.apache.zookeeper.ZooKeeper  - Initiating client connection, connectString=localhost:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@3ba9ad43
6493 [main] INFO  org.I0Itec.zkclient.ZkClient  - Waiting for keeper state SyncConnected
6496 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
6499 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Socket connection established to localhost/127.0.0.1:2181, initiating session
6504 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Session establishment complete on server localhost/127.0.0.1:2181, sessionid = 0x15c8a5136e10058, negotiated timeout = 6000
6505 [main-EventThread] INFO  org.I0Itec.zkclient.ZkClient  - zookeeper state changed (SyncConnected)
6511 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], starting auto committer every 60000 ms
6527 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], begin registering consumer space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c in ZK
6543 [Thread-2] INFO  kafka.utils.ZKCheckedEphemeral  - Creating /consumers/space.exploration.mars.rover/ids/space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c (is it secure? false)
6551 [Thread-2] INFO  kafka.utils.ZKCheckedEphemeral  - Result of znode creation is: OK
6552 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], end registering consumer space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c in ZK
6557 [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c_watcher_executor] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], starting watcher executor thread for consumer space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c
6569 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], begin rebalancing consumer space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c try #0
6645 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1500261131849] Stopping leader finder thread
6645 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1500261131849] Stopping all fetchers
6646 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1500261131849] All connections stopped
6647 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], Cleared all relevant queues for this fetcher
6647 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], Cleared the data chunks in all the consumer message iterators
6648 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], Committing all offsets after clearing the fetcher queues
6648 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], Releasing partition ownership
6671 [Thread-2] INFO  kafka.consumer.RangeAssignor  - Consumer space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c rebalancing the following partitions: ArrayBuffer(0) for topic secure_com_from_earth_channel_3 with consumers: List(space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c-0)
6673 [Thread-2] INFO  kafka.consumer.RangeAssignor  - space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c-0 attempting to claim partition 0
6696 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c-0 successfully owned partition 0 for topic secure_com_from_earth_channel_3
6710 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], Consumer space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c selected partitions : secure_com_from_earth_channel_3:0: fetched offset = 4325: consumed offset = 4325
6712 [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c-leader-finder-thread] INFO  kafka.consumer.ConsumerFetcherManager$LeaderFinderThread  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c-leader-finder-thread], Starting 
6712 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c], end rebalancing consumer space.exploration.mars.rover_zion-mainframe-1500261131815-603ae05c try #0
