1    [main] INFO  space.exploration.mars.rover.kernel.Rover  - Rover current position is = java.awt.Point[x=350,y=250]
1006 [main] INFO  space.exploration.mars.rover.sensor.Lidar  - Lidar initialized and ready!
2008 [main] INFO  space.exploration.mars.rover.sensor.Spectrometer  - Spectrometer initialized and ready!
3225 [main] INFO  space.exploration.mars.rover.sensor.Camera  - Camera initialized and ready!
4227 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radar configured:: 
5229 [main] INFO  space.exploration.mars.rover.power.Battery  - Battery configured, batteryLife:primaryPowerUnits = 10000 auxiliaryPowerUnits = 1000 alertThreshold: 100 rechargeTime = 60000
6230 [main] INFO  space.exploration.mars.rover.kernel.Rover  - Battery Monitor configured!
6436 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
6456 [main] WARN  kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
6456 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
6456 [main] WARN  kafka.utils.VerifiableProperties  - Property group.id is not valid
6457 [main] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
6457 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
6457 [main] WARN  kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
6485 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
6485 [main] INFO  kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
6485 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
6485 [main] INFO  kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover
6485 [main] WARN  kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
6486 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
6486 [main] INFO  kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to localhost:2181
6507 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zion-mainframe-1497926155978-ecb41dcc], Connecting to zookeeper instance at localhost:2181
6513 [ZkClient-EventThread-22-localhost:2181] INFO  org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
6516 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
6516 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:host.name=zion-mainframe
6516 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_131
6516 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
6516 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
