0    [main] INFO  space.exploration.mars.rover.kernel.Rover  - Rover current position is = java.awt.Point[x=0,y=250]
1005 [main] INFO  space.exploration.mars.rover.sensor.Lidar  - Lidar initialized and ready!
2007 [main] INFO  space.exploration.mars.rover.sensor.Spectrometer  - Spectrometer initialized and ready!
3235 [main] INFO  space.exploration.mars.rover.sensor.Camera  - Camera initialized and ready!
4238 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radio configured:: 
5241 [main] INFO  space.exploration.mars.rover.power.Battery  - Battery configured, batteryLife:primaryPowerUnits = 10000 auxiliaryPowerUnits = 1000 alertThreshold: 100 rechargeTime = 60000
5527 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
5548 [main] WARN  kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
5548 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
5548 [main] WARN  kafka.utils.VerifiableProperties  - Property group.id is not valid
5549 [main] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
5549 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
5549 [main] WARN  kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
5580 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
5580 [main] INFO  kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
5580 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
5580 [main] INFO  kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover
5580 [main] WARN  kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
5580 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
5580 [main] INFO  kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to localhost:2181
5602 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zionmainframe-1496289711737-ffe3a16a], Connecting to zookeeper instance at localhost:2181
5609 [ZkClient-EventThread-21-localhost:2181] INFO  org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
5612 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
5612 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:host.name=zionmainframe
5612 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_131
5612 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
5612 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
