612 [main] DEBUG space.exploration.mars.rover.service.QueryService  - StartMS supplied = 1480229996168 jodaInternalEarthDate = 2016-11-27T00:59:56.168-06:00 curiosityEarthDate = 2016-11-27
613 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
613 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
613 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
2642 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Curiosity internal spacecraft clock started at :: 2016-01-01T00:00:00.000-06:00
2643 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Mission duration is set to :: 1 year(s).
2643 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Mission duration = 31536000000
2644 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:00.000-06:00 sclk of::
3649 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3649 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3649 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3650 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3650 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3650 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3650 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3650 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3650 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3650 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
3658 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:04.380-06:00 sclk of::1/0504877265-44221
