614 [main] DEBUG space.exploration.mars.rover.service.QueryService  - StartMS supplied = 1480292046683 jodaInternalEarthDate = 2016-11-27T18:14:06.683-06:00 curiosityEarthDate = 2016-11-27
615 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
615 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
615 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
2577 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Curiosity internal spacecraft clock started at :: 2016-01-01T00:00:00.000-06:00
2577 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Mission duration is set to :: 1 year(s).
2577 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Mission duration = 31536000000
2577 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:00.000-06:00 sclk of::
3579 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3579 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3580 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3580 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3580 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3580 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3580 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3580 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3580 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3580 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.860-06:00 sclk of::1/0504877268-44219
3583 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:07.920-06:00 sclk of::1/0504877268-44219
